Name ,Abbrev ,Status ,Fall ,Year ,Place ,Type ,Mass,MetBull ,Antarctic 
Queen Alexandra Range 97005 **,QUE 97005,Official,,1997,Antarctica,CM2,0.72 g,83,21(2)   ANSMET
Thiel Mountains 07008 **,TIL 07008,Official,,2007,Antarctica,CM2,0.7 g,105,  KOREAMET
MacKay Glacier 92502 **,MCY 92502,Official,,1992,Antarctica,CM2,0.7 g,79,17(1)   ANSMET
Elephant Moraine 16171 **,EET 16171,Official,,2016,Antarctica,CM2,0.7 g,106,40(2)   ANSMET
Elephant Moraine 16129 **,EET 16129,Official,,2016,Antarctica,CM1/2,0.7 g,106,40(2)   ANSMET
Allan Hills A81312,ALHA81312,Official,,1981,Antarctica,CM2,0.7 g,76,7(1)   ANSMET
Yamato 86688,Y-86688,Official,,1986,Antarctica,CM2,0.66 g,,  NIPR
Yamato 86034,Y-86034,Official,,1986,Antarctica,CM2,0.65 g,,  NIPR
LaPaz Icefield 04771 **,LAP 04771,Official,,2004,Antarctica,CM2,0.6 g,92,30(1)   ANSMET
LaPaz Icefield 031195 **,LAP 031195,Official,,2003,Antarctica,CM2,0.6 g,92,29(2)   ANSMET
Elephant Moraine 92007 **,EET 92007,Official,,1992,Antarctica,CM2,0.6 g,79,17(1)   ANSMET
Allan Hills 90407 **,ALH 90407,Official,,1990,Antarctica,CM2,0.6 g,76,15(1)   ANSMET
Queen Alexandra Range 99113 **,QUE 99113,Official,,1999,Antarctica,CM2,0.58 g,86,24(2)   ANSMET
Miller Range 15419 **,MIL 15419,Official,,2015,Antarctica,CM2,0.56 g,108,42(2)   ANSMET
Yamato 980366,Y-980366,Official,,1998,Antarctica,CM2,0.52 g,110,J28   NIPR
Elephant Moraine 16050 **,EET 16050,Official,,2016,Antarctica,CM2,0.5 g,106,40(2)   ANSMET
Elephant Moraine 15011 **,EET 15011,Official,,2015,"Antarctica, Antarctica",CM2,0.5 g,113,  KOREAMET
MacAlpine Hills 041219 **,MAC 041219,Official,,2004,Antarctica,CM2,0.5 g,92,29(2)   ANSMET
Miller Range 13137 **,MIL 13137,Official,,2013,Antarctica,CM2,0.5 g,106,40(1)   ANSMET
Yamato 980518,Y-980518,Official,,1998,Antarctica,CM2,0.49 g,110,J28   NIPR
Grove Mountains 021580,GRV 021580,Official,,2003,Antarctica,CM2,0.48 g,96,  CARE
Yamato 002705,Y-002705,Official,,2000,Antarctica,CM,0.42 g,105,J25   NIPR
Grove Mountains 020005 **,GRV 020005,Official,,2002,Antarctica,CM2,0.4 g,89,  CARE
MacAlpine Hills 02869 **,MAC 02869,Official,,2002,Antarctica,CM1,0.36 g,89,28(1)   ANSMET
Elephant Moraine 14013 **,EET 14013,Official,,2014,Antarctica,CM2,0.3 g,107,  KOREAMET
MacAlpine Hills 02779 **,MAC 02779,Official,,2002,Antarctica,CM2,0.3 g,89,28(1)   ANSMET
MacAlpine Hills 02552 **,MAC 02552,Official,,2002,Antarctica,CM2,0.3 g,88,27(1)   ANSMET
Wisconsin Range 91608 **,WIS 91608,Official,,1991,Antarctica,CM2,0.28 g,76,16(1)   ANSMET
Yamato 980548,Y-980548,Official,,1998,Antarctica,CM2,0.26 g,110,J28   NIPR
MacAlpine Hills 02820 **,MAC 02820,Official,,2002,Antarctica,CM1/2,0.21 g,89,28(1)   ANSMET
Elephant Moraine 92009 **,EET 92009,Official,,1992,Antarctica,CM2,0.2 g,79,17(1)   ANSMET
Miller Range 13063 **,MIL 13063,Official,,2013,Antarctica,CM1,0.2 g,106,40(1)   ANSMET
Miller Range 13037 **,MIL 13037,Official,,2013,Antarctica,CM1,0.2 g,106,40(1)   ANSMET
MacAlpine Hills 02854 **,MAC 02854,Official,,2002,Antarctica,CM2,0.14 g,89,28(1)   ANSMET
Miller Range 13065 **,MIL 13065,Official,,2013,Antarctica,CM2,0.1 g,106,40(1)   ANSMET
Miller Range 13233 **,MIL 13233,Official,,2013,Antarctica,CM2,0.1 g,106,40(1)   ANSMET
Outer Recovery Icefields 18017 **,OUT 18017,Official,,2019,Antarctica,CM2,0.090 g,113,  LostMets-UK
