Name ,Abbrev ,Status ,Fall ,Year ,Place ,Type ,Mass,MetBull ,Antarctic 
Miller Range 11111 **,MIL 11111,Official,,2011,Antarctica,CM1/2,41.9 g,101,35(2)   ANSMET
Asuka 10014,A 10014,Official,,2010,Antarctica,CM,41.6 g,103,J23   NIPR-RBINS
Meteorite Hills 01070 **,MET 01070,Official,,2001,Antarctica,CM1,40.6 g,87,25(2)   ANSMET
Northwest Africa 16040 **,NWA 16040,Official,,2022,(Northwest Africa),CM2,40 g,112,
Northwest Africa 7131 **,NWA 7131,Official,,2011,(Northwest Africa),CM2,40 g,101,
Asuka 881955,A-881955,Official,,1988,Antarctica,CM2,40 g,,  NIPR
Northwest Africa 6862 **,NWA 6862,Official,,2011,(Northwest Africa),CM2,39.4 g,100,
Northwest Africa 14097 **,NWA 14097,Official,,2021,(Northwest Africa),CM2,39.3 g,110,
LaPaz Icefield 02239 **,LAP 02239,Official,,2002,Antarctica,CM2,39.3 g,88,26(2)   ANSMET
Hamadat Zegher 001 **,HZ 001,Official,,2018,"Awbari, Libya",CM2,39 g,108,
Northwest Africa 16359 **,NWA 16359,Official,,2022,(Northwest Africa),CM2,38.9 g,112,
Meteorite Hills 00432 **,MET 00432,Official,,2000,Antarctica,CM2,38.9 g,86,24(2)   ANSMET
Yamato 980051,Y-980051,Official,,1998,Antarctica,CM2,38.5 g,,J16   NIPR
Meteorite Hills 01072 **,MET 01072,Official,,2001,Antarctica,CM2,38.5 g,87,25(2)   ANSMET
Dominion Range 14219 **,DOM 14219,Official,,2014,Antarctica,CM2,38.1 g,105,39(1)   ANSMET
Aydar 003 **,,Official,,2018,"South, Morocco",CM1/2,38 g,108,
MacAlpine Hills 88176 **,MAC 88176,Official,,1988,Antarctica,CM2,37.9 g,76,13(2)   ANSMET
Northwest Africa 11180 **,NWA 11180,Official,,2015,Morocco,CM2,37.5 g,106,
Miller Range 07675 **,MIL 07675,Official,,2007,Antarctica,CM2,37.4 g,98,33(1)   ANSMET
Yamato 82042,Y-82042,Official,,1982,Antarctica,CM1/2,37.1 g,,  NIPR
Asuka 881655,A-881655,Official,,1988,Antarctica,CM2,36.6 g,,  NIPR
Northwest Africa 7309 **,NWA 7309,Official,,2012,(Northwest Africa),CM2,36.2 g,102,
Northwest Africa 12748 **,NWA 12748,Official,,2019,(Northwest Africa),CM2,36 g,108,
Northwest Africa 12778 **,NWA 12778,Official,,2018,(Northwest Africa),CM2,35.8 g,108,
Asuka 881594,A-881594,Official,,1988,Antarctica,CM2,35.7 g,,  NIPR
Pecora Escarpment 91084 **,PCA 91084,Official,,1991,Antarctica,CM2,34.4 g,76,16(1)   ANSMET
Allan Hills 84051 **,ALH 84051,Official,,1984,Antarctica,CM2,34.3 g,76,9(2)   ANSMET
Northwest Africa 15749 **,NWA 15749,Official,,2022,Algeria,CM2,34 g,112,
Asuka 881334,A-881334,Official,,1988,Antarctica,CM2,34 g,,J13(1)   NIPR
Miller Range 15029 **,MIL 15029,Official,,2015,Antarctica,CM2,34 g,106,40(1)   ANSMET
Northwest Africa 10907 **,NWA 10907,Official,,2016,Morocco,CM2,33.8 g,106,
Northwest Africa 15824 **,NWA 15824,Official,,2022,(Northwest Africa),CM2,33.5 g,112,
Northwest Africa 12754 **,NWA 12754,Official,,2017,(Northwest Africa),CM2,33.5 g,108,
Reckling Peak 14005 **,RKP 14005,Official,,2014,Antarctica,CM2,33.4 g,107,  KOREAMET
Northwest Africa 12287 **,NWA 12287,Official,,2018,(Northwest Africa),CM2,33 g,107,
Allan Hills 84039 **,ALH 84039,Official,,1984,Antarctica,CM2,32.8 g,76,9(2)   ANSMET
Northwest Africa 10827 **,NWA 10827,Official,,2016,(Northwest Africa),CM2,32.7 g,105,
Dhofar 1981 **,Dho 1981,Official,,2008,"Zufar, Oman",CM2,32.7 g,104,
Northwest Africa 6725 **,NWA 6725,Official,,2011,(Northwest Africa),CM2,32.6 g,100,
Queen Alexandra Range 99355 **,QUE 99355,Official,,1999,Antarctica,CM2,32.4 g,86,25(1)   ANSMET
Asuka 12031,A 12031,Official,,2012,Antarctica,CM2,32.2 g,103,J23   NIPR-RBINS
Miller Range 07676 **,MIL 07676,Official,,2007,Antarctica,CM2,32.2 g,96,31(2)   ANSMET
Allan Hills 85008 **,ALH 85008,Official,,1985,Antarctica,CM2,32.1 g,76,9(3)   ANSMET
Northwest Africa 11465 **,NWA 11465,Official,,2017,(Northwest Africa),CM2,32 g,106,
Lewis Cliff 85312 **,LEW 85312,Official,,1985,Antarctica,CM2-an,31.7 g,76,9(3)   ANSMET
Bou Kra 005 **,,Official,,2010,"Saguia el Hamra, Western Sahara",CM2,31.1 g,102,
Northwest Africa 14094 **,NWA 14094,Official,,2021,(Northwest Africa),CM2,30.6 g,110,
Miller Range 15489 **,MIL 15489,Official,,2015,Antarctica,CM2,30.2 g,108,42(2)   ANSMET
Meteorite Hills 01075 **,MET 01075,Official,,2001,Antarctica,CM2,29.9 g,87,25(2)   ANSMET
Yamato 980093 **,Y-980093,Official,,1998,Antarctica,CM2,29.6 g,,J16   NIPR
Allan Hills 84049 **,ALH 84049,Official,,1984,Antarctica,CM2,29.4 g,76,9(2)   ANSMET
Yamato 791825,Y-791825,Official,,1979,Antarctica,CM2,29.1 g,,  NIPR
Northwest Africa 12861 **,NWA 12861,Official,,2014,(Northwest Africa),CM2,29 g,108,
Dominion Range 08013 **,DOM 08013,Official,,2008,Antarctica,CM2,28.8 g,98,32(2)   ANSMET
Allan Hills 84040 **,ALH 84040,Official,,1984,Antarctica,CM2,28.7 g,76,9(2)   ANSMET
Scott Glacier 06043 **,SCO 06043,Official,,2006,Antarctica,CM1,27.6 g,94,31(1)   ANSMET
Grosvenor Mountains 85202 **,GRO 85202,Official,,1985,Antarctica,CM2,27.2 g,76,9(3)   ANSMET
Yamato 86686,Y-86686,Official,,1986,Antarctica,CM2,27 g,,  NIPR
Northwest Africa 14473 **,NWA 14473,Official,,2021,(Northwest Africa),CM2,27 g,110,
LaPaz Icefield 031165 **,LAP 031165,Official,,2003,Antarctica,CM2,27 g,92,29(2)   ANSMET
Northwest Africa 13707 **,NWA 13707,Official,,2020,(Northwest Africa),CM2,26.7 g,110,
Northwest Africa 13711 **,NWA 13711,Official,,2020,(Northwest Africa),CM2,26.3 g,110,
Miller Range 07708 **,MIL 07708,Official,,2007,Antarctica,CM2,26.3 g,96,31(2)   ANSMET
Northwest Africa 17898 **,NWA 17898,Official,,2024,(Northwest Africa),CM2,26 g,114†,
Northwest Africa 12673 **,NWA 12673,Official,,2018,(Northwest Africa),CM2,26 g,108,
LaPaz Icefield 02349 **,LAP 02349,Official,,2002,Antarctica,CM2,26 g,89,27(3)   ANSMET
Maribo **,,Official,Y,2009,"Region Sjaelland, Denmark",CM2,25.8 g,96,
MacKay Glacier 05251 **,MCY 05251,Official,,2005,Antarctica,CM2,25.3 g,92,29(2)   ANSMET
Northwest Africa 8618 **,NWA 8618,Official,,2014,Morocco,CM2,25.2 g,103,
Larkman Nunatak 06318 **,LAR 06318,Official,,2006,Antarctica,CM2,25 g,94,31(1)   ANSMET
Northwest Africa 13371 **,NWA 13371,Official,,2018,"Chwichiya, Morocco",CM2,24.8 g,109,
Allan Hills 82100 **,ALH 82100,Official,,1982,Antarctica,CM2,24.3 g,76,6(2)   ANSMET
LaPaz Icefield 02269 **,LAP 02269,Official,,2002,Antarctica,CM2,24.2 g,89,27(3)   ANSMET
Northwest Africa 14679 **,NWA 14679,Official,,2005,(Northwest Africa),CM2,24 g,111,
Northwest Africa 7210 **,NWA 7210,Official,,2006,(Northwest Africa),CM2,24 g,100,
Meteorite Hills 00431 **,MET 00431,Official,,2000,Antarctica,CM2,23.4 g,86,24(2)   ANSMET
MacKay Glacier 92500 **,MCY 92500,Official,,1992,Antarctica,CM2,23.4 g,76,16(2)   ANSMET
Yamato 791824,Y-791824,Official,,1979,Antarctica,CM2,23.3 g,,J1(1)   NIPR
Northwest Africa 8619 **,NWA 8619,Official,,2014,Morocco,CM2,23.3 g,103,
Northwest Africa 16572 **,NWA 16572,Official,,2023,Morocco,CM2,23 g,113,
LaPaz Icefield 03786 **,LAP 03786,Official,,2003,Antarctica,CM2,22.4 g,92,29(2)   ANSMET
Allan Hills 83106 **,ALH 83106,Official,,1983,Antarctica,CM2,22.3 g,76,9(1)   ANSMET
Northwest Africa 8763 **,NWA 8763,Official,,2014,(Northwest Africa),CM2,22 g,104,
Larkman Nunatak 06686 **,LAR 06686,Official,,2006,Antarctica,CM2,21.9 g,98,32(2)   ANSMET
Abteh 001 **,,Official,,2023,"South, Morocco",CM2,21.3 g,113,
Yamato 794080,Y-794080,Official,,1979,Antarctica,CM2,21.1 g,,  NIPR
Graves Nunataks 06172 **,GRA 06172,Official,,2006,Antarctica,CM2,21.1 g,94,30(2)   ANSMET
Yamato 980839,Y-980839,Official,,1998,Antarctica,CM2,21 g,,J18   NIPR
MacAlpine Hills 88101 **,MAC 88101,Official,,1988,Antarctica,CM2,20.9 g,76,13(2)   ANSMET
Yamato 980050,Y-980050,Official,,1998,Antarctica,CM2,20.8 g,,J16   NIPR
Scott Glacier 06013 **,SCO 06013,Official,,2006,Antarctica,CM2,20.7 g,94,31(1)   ANSMET
Northwest Africa 11468 **,NWA 11468,Official,,2017,(Northwest Africa),CM2,20.7 g,106,
Meteorite Hills 00633 **,MET 00633,Official,,2000,Antarctica,CM2,20.4 g,93,26(1)   ANSMET
Northwest Africa 12674 **,NWA 12674,Official,,2019,(Northwest Africa),CM2,20 g,108,
Niger (C2),,Official,,1969,Niger,CM2,20 g,,
Queen Alexandra Range 97077 **,QUE 97077,Official,,1997,Antarctica,CM2,20 g,84,23(1)   ANSMET
Elephant Moraine 96017,EET 96017,Official,,1996,Antarctica,CM2,19.9 g,82,21(1)   ANSMET
Allan Hills A77306 **,ALHA77306,Official,,1977 or 1978,Antarctica,CM2,19.9 g,76,4(1)   ANS-NIPR
Dominion Range 03182 **,DOM 03182,Official,,2003,Antarctica,CM2,19.8 g,89,28(1)   ANSMET
Miller Range 090281 **,MIL 090281,Official,,2009,Antarctica,CM2,19.8 g,101,35(2)   ANSMET
Yamato 982503,Y-982503,Official,,1998,Antarctica,CM2,19.7 g,110,J28   NIPR
Elephant Moraine 90021 **,EET 90021,Official,,1990,Antarctica,CM2,19.6 g,76,15(1)   ANSMET
Meteorite Hills 01078 **,MET 01078,Official,,2001,Antarctica,CM2,19.5 g,87,25(2)   ANSMET
Allan Hills 84054 **,ALH 84054,Official,,1984,Antarctica,CM2,19.4 g,76,9(2)   ANSMET
Yamato 981286,Y-981286,Official,,1998,Antarctica,CM2,19.3 g,98,J19   NIPR
LaPaz Icefield 03865 **,LAP 03865,Official,,2003,Antarctica,CM2,19.2 g,91,29(1)   ANSMET
Elephant Moraine 83389 **,EET 83389,Official,,1983,Antarctica,CM2,19.2 g,76,10(2)   ANSMET
Yamato 980096,Y-980096,Official,,1998,Antarctica,CM2,19.1 g,,J16   NIPR
Northwest Africa 7138 **,NWA 7138,Official,,2010,Morocco,CM2,19 g,100,
Northwest Africa 4765,NWA 4765,Official,,2006,(Northwest Africa),CM1,19 g,97,
Northwest Africa 7670 **,NWA 7670,Official,,2012,(Northwest Africa),CM2,18.9 g,103,
Meteorite Hills 01077 **,MET 01077,Official,,2001,Antarctica,CM2,18.9 g,87,25(2)   ANSMET
Elephant Moraine 96019,EET 96019,Official,,1996,Antarctica,CM2,18.9 g,82,21(1)   ANSMET
Allan Hills 85005 **,ALH 85005,Official,,1985,Antarctica,CM2,18.9 g,76,9(3)   ANSMET
Yamato 982501,Y-982501,Official,,1998,Antarctica,CM2,18.6 g,110,J28   NIPR
Miller Range 15308 **,MIL 15308,Official,,2015,Antarctica,CM2,18.2 g,106,40(1)   ANSMET
Northwest Africa 10176 **,NWA 10176,Official,,2012,(Northwest Africa),CM2,18.1 g,105,
Ouargla 006 **,,Official,,2022,"Ouargla, Algeria",CM2,18 g,111,
Northwest Africa 11254 **,NWA 11254,Official,,2016,(Northwest Africa),CM-an,18 g,107,
Allan Hills 88045,ALH 88045,Official,,1988,Antarctica,CM1,18 g,69,  EUROMET
Northwest Africa 10126 **,NWA 10126,Official,,2013,(Northwest Africa),CM2,17.6 g,105,
Yamato 982500,Y-982500,Official,,1998,Antarctica,CM2,17.4 g,110,J28   NIPR
Miller Range 090288 **,MIL 090288,Official,,2009,Antarctica,CM1/2,17.4 g,101,35(2)   ANSMET
Miller Range 07679 **,MIL 07679,Official,,2007,Antarctica,CM2,17.3 g,96,31(2)   ANSMET
Northwest Africa 11791 **,NWA 11791,Official,,2017,(Northwest Africa),CM2,17.1 g,107,
Northwest Africa 16390 **,NWA 16390,Official,,2023,(Northwest Africa),CM2,17 g,113,
Northwest Africa 13547 **,NWA 13547,Official,,2020,(Northwest Africa),CM2,17 g,109,
Allan Hills 84043 **,ALH 84043,Official,,1984,Antarctica,CM2,16.8 g,76,9(2)   ANSMET
Lewis Cliff 87016 **,LEW 87016,Official,,1987,Antarctica,CM2,16.8 g,76,11(2)   ANSMET
Lookout Hill **,,Official,,1976,"Western Australia, Australia",CM2,16.6 g,57,
Dhofar 2046 **,Dho 2046,Official,,2011,"Zufar, Oman",CM2-an,16.6 g,105,
Yamato 794078,Y-794078,Official,,1979,Antarctica,CM2,16.5 g,,  NIPR
Asuka 19066,A 19066,Official,,2019,Antarctica,CM2,16.5 g,113,J29   NIPR-RBINS
Northwest Africa 5376 **,NWA 5376,Official,,2008,(Northwest Africa),CM2,16.3 g,111,
Elephant Moraine 96010 **,EET 96010,Official,,1996,Antarctica,CM2,16.3 g,82,21(1)   ANSMET
Yamato 86693,Y-86693,Official,,1986,Antarctica,CM2,16.2 g,,  NIPR
Northwest Africa 7121 **,NWA 7121,Official,,2011,(Northwest Africa),CM2,16.1 g,101,
Dhofar 955 **,Dho 955,Official,,2003,"Zufar, Oman",CM2,16 g,89,
LaPaz Icefield 04809 **,LAP 04809,Official,,2004,Antarctica,CM2,15.8 g,94,30(2)   ANSMET
Meteorite Hills 01073 **,MET 01073,Official,,2001,Antarctica,CM1,15.7 g,87,25(2)   ANSMET
LaPaz Icefield 04796 **,LAP 04796,Official,,2004,Antarctica,CM2,15.7 g,94,30(2)   ANSMET
Asuka 12121,A 12121,Official,,2012,Antarctica,CM,15.7 g,105,J25   NIPR-RBINS
Northwest Africa 11781 **,NWA 11781,Official,,2017,(Northwest Africa),CM2,15.5 g,107,
LaPaz Icefield 031268,LAP 031268,Official,,2003,Antarctica,CM2,15.4 g,92,29(2)   ANSMET
Elephant Moraine 96098 **,EET 96098,Official,,1996,Antarctica,CM2,15.3 g,83,21(2)   ANSMET
Queen Alexandra Range 99886 **,QUE 99886,Official,,1999,Antarctica,CM2,15.3 g,87,25(2)   ANSMET
LaPaz Icefield 031166 **,LAP 031166,Official,,2003,Antarctica,CM1/2,15.1 g,92,29(2)   ANSMET
Northwest Africa 11462 **,NWA 11462,Official,,2017,(Northwest Africa),CM2,15 g,106,
Northwest Africa 11389 **,NWA 11389,Official,,2017,(Northwest Africa),CM2,15 g,106,
LaPaz Icefield 04514 **,LAP 04514,Official,,2004,Antarctica,CM2,14.8 g,94,30(2)   ANSMET
Amundsen Glacier 17290 **,AMU 17290,Official,,2017,Antarctica,CM2,14.4 g,107,41(2)   ANSMET
MacAlpine Hills 02535 **,MAC 02535,Official,,2002,Antarctica,CM2,14.4 g,88,27(1)   ANSMET
Scott Glacier 06012 **,SCO 06012,Official,,2006,Antarctica,CM2,14.3 g,94,31(1)   ANSMET
Northwest Africa 14095 **,NWA 14095,Official,,2021,(Northwest Africa),CM2,14.3 g,110,
LaPaz Icefield 02308 **,LAP 02308,Official,,2002,Antarctica,CM2,14.1 g,89,27(3)   ANSMET
Outer Recovery Icefields 18012 **,OUT 18012,Official,,2019,Antarctica,CM-an,14 g,111,  LostMets-UK
Northwest Africa 12672 **,NWA 12672,Official,,2018,(Northwest Africa),CM2,14 g,108,
LaPaz Icefield 04680 **,LAP 04680,Official,,2004,Antarctica,CM2,14 g,94,30(2)   ANSMET
Allan Hills 84191 **,ALH 84191,Official,,1984,Antarctica,CM2,14 g,76,9(3)   ANSMET
Allan Hills A81002 **,ALHA81002,Official,,1981,Antarctica,CM2,14 g,76,6(1)   ANSMET
Yamato 981719,Y-981719,Official,,1998,Antarctica,CM2,13.8 g,98,J19   NIPR
Yamato 793586,Y-793586,Official,,1979,Antarctica,CM2,13.8 g,,  NIPR
Yamato 980085 **,Y-980085,Official,,1998,Antarctica,CM2,13.6 g,,J16   NIPR
Allan Hills 99500 **,ALH 99500,Official,,1999,Antarctica,CM2,13.6 g,85,24(1)   ANSMET
Miller Range 07703 **,MIL 07703,Official,,2007,Antarctica,CM2,13.6 g,98,33(1)   ANSMET
Yamato 793601,Y-793601,Official,,1979,Antarctica,CM2,13.5 g,,  NIPR
Meteorite Hills 00639 **,MET 00639,Official,,2000,Antarctica,CM2,13.4 g,93,26(1)   ANSMET
Queen Alexandra Range 93005 **,QUE 93005,Official,,1993,Antarctica,CM2,13.4 g,79,17(3)   ANSMET
Northwest Africa 12563 **,NWA 12563,Official,,2015,(Northwest Africa),CM2-an,13 g,108,
Northwest Africa 8089 **,NWA 8089,Official,,2013,(Northwest Africa),CM2,13 g,104,
Elephant Moraine 96097 **,EET 96097,Official,,1996,Antarctica,CM2,12.9 g,83,21(2)   ANSMET
Northwest Africa 10957 **,NWA 10957,Official,,2016,(Northwest Africa),CM1/2,12.8 g,105,
Northwest Africa 3340 **,NWA 3340,Official,,2006,(Northwest Africa),CM2-an,12.7 g,92,
Elephant Moraine 96096 **,EET 96096,Official,,1996,Antarctica,CM2,12.7 g,83,21(2)   ANSMET
Allan Hills 84048 **,ALH 84048,Official,,1984,Antarctica,CM2,12.6 g,76,9(2)   ANSMET
Allan Hills 84031 **,ALH 84031,Official,,1984,Antarctica,CM2,12.5 g,76,8(2)   ANSMET
Yamato 86696,Y-86696,Official,,1986,Antarctica,CM2,12.3 g,,  NIPR
Northwest Africa 15103 **,NWA 15103,Official,,2012,Morocco,CM2,12.2 g,111,
Miller Range 07689 **,MIL 07689,Official,,2007,Antarctica,CM1,12.2 g,101,34(1)   ANSMET
Yamato 981271,Y-981271,Official,,1998,Antarctica,CM2,12.1 g,98,J19   NIPR
Northwest Africa 7568,NWA 7568,Official,,2012,(Northwest Africa),CM2,12 g,101,
Yamato 982018,Y-982018,Official,,1998,Antarctica,CM2,11.9 g,99,J20   NIPR
Yamato 794081,Y-794081,Official,,1979,Antarctica,CM2,11.9 g,,  NIPR
Yamato 981266,Y-981266,Official,,1998,Antarctica,CM2,11.8 g,98,J19   NIPR
LaPaz Icefield 04807 **,LAP 04807,Official,,2004,Antarctica,CM2,11.6 g,94,30(2)   ANSMET
Dominion Range 19069 **,DOM 19069,Official,,2019,Antarctica,CM2,11.6 g,110,44(2)   ANSMET
Meteorite Hills 01079 **,MET 01079,Official,,2001,Antarctica,CM1,11.5 g,87,25(2)   ANSMET
Elephant Moraine 83250 **,EET 83250,Official,,1983,Antarctica,CM2,11.5 g,76,8(1)   ANSMET
LaPaz Icefield 04552 **,LAP 04552,Official,,2004,Antarctica,CM2,11.4 g,94,30(2)   ANSMET
Allan Hills 84045 **,ALH 84045,Official,,1984,Antarctica,CM2,11.4 g,76,9(2)   ANSMET
Queen Alexandra Range 94734 **,QUE 94734,Official,,1994,Antarctica,CM2,11.2 g,82,19(2)   ANSMET
Miller Range 13330 **,MIL 13330,Official,,2013,Antarctica,CM2,11.1 g,104,38(2)   ANSMET
Northwest Africa 11919 **,NWA 11919,Official,,2018,(Northwest Africa),CM2,11 g,107,
LaPaz Icefield 04588 **,LAP 04588,Official,,2004,Antarctica,CM2,11 g,94,30(2)   ANSMET
Yamato 791190,Y-791190,Official,,1979,Antarctica,CM2,10.9 g,,  NIPR
Meteorite Hills 00433 **,MET 00433,Official,,2000,Antarctica,CM2,10.9 g,86,24(2)   ANSMET
Meteorite Hills 00630 **,MET 00630,Official,,2000,Antarctica,CM2,10.8 g,93,26(1)   ANSMET
Allan Hills 85011 **,ALH 85011,Official,,1985,Antarctica,CM2,10.7 g,76,10(1)   ANSMET
Yamato 74642,Y-74642,Official,,1974,Antarctica,CM2,10.6 g,,J3(1)   NIPR
Miller Range 15094 **,MIL 15094,Official,,2015,Antarctica,CM2,10.6 g,107,41(2)   ANSMET
Northwest Africa 11588 **,NWA 11588,Official,,2017,(Northwest Africa),CM2,10.3 g,107,
Northwest Africa 6861 **,NWA 6861,Official,,2011,(Northwest Africa),CM2,10.3 g,100,
Asuka 12408,A 12408,Official,,2012,Antarctica,CM,10.2 g,107,J26   NIPR-RBINS
Yamato 980094 **,Y-980094,Official,,1998,Antarctica,CM2,10.1 g,,J16   NIPR
Northwest Africa 11793 **,NWA 11793,Official,,2018,(Northwest Africa),CM2,10.1 g,107,
MacAlpine Hills 02701 **,MAC 02701,Official,,2002,Antarctica,CM2,10.1 g,89,27(3)   ANSMET
Northwest Africa 12815 **,NWA 12815,Official,,2019,(Northwest Africa),CM2,10 g,108,
Northwest Africa 12742 **,NWA 12742,Official,,2018,(Northwest Africa),CM2,10 g,108,
Dhofar 1277 **,Dho 1277,Official,,2005,"Zufar, Oman",CM2,10 g,90,
Dominion Range 14239 **,DOM 14239,Official,,2014,Antarctica,CM1,9.9 g,105,39(1)   ANSMET
Pecora Escarpment 02050 **,PCA 02050,Official,,2002,Antarctica,CM2,9.8 g,89,27(3)   ANSMET
Northwest Africa 11638 **,NWA 11638,Official,,2017,(Northwest Africa),CM2.0,9.7 g,107,
MacKay Glacier 05229 **,MCY 05229,Official,,2005,Antarctica,CM2,9.7 g,92,29(2)   ANSMET
Yamato 980183,Y-980183,Official,,1998,Antarctica,CM2,9.5 g,,J16   NIPR
Yamato 86690,Y-86690,Official,,1986,Antarctica,CM2,9.5 g,,  NIPR
LaPaz Icefield 031214 **,LAP 031214,Official,,2003,Antarctica,CM2,9.5 g,91,29(1)   ANSMET
Elephant Moraine 96012,EET 96012,Official,,1996,Antarctica,CM2,9.4 g,82,21(1)   ANSMET
Yamato 86039,Y-86039,Official,,1986,Antarctica,CM2,9.3 g,,  NIPR
Northwest Africa 17480 **,NWA 17480,Official,,2024,(Northwest Africa),CM1,9.3 g,114†,
Meteorite Hills 01076 **,MET 01076,Official,,2001,Antarctica,CM2,9.2 g,87,25(2)   ANSMET
Meteorite Hills 00632 **,MET 00632,Official,,2000,Antarctica,CM2,9.1 g,93,26(1)   ANSMET
Asuka 12085,A 12085,Official,,2012,Antarctica,CM,9.1 g,105,J25   NIPR-RBINS
Miller Range 15081 **,MIL 15081,Official,,2015,Antarctica,CM2,9.1 g,106,40(1)   ANSMET
LaPaz Icefield 031371 **,LAP 031371,Official,,2003,Antarctica,CM2,8.8 g,92,29(2)   ANSMET
Queen Alexandra Range 93017 **,QUE 93017,Official,,1993,Antarctica,CM2,8.8 g,79,18(2)   ANSMET
Queen Alexandra Range 99443 **,QUE 99443,Official,,1999,Antarctica,CM2,8.7 g,86,25(1)   ANSMET
Elephant Moraine 83224 **,EET 83224,Official,,1983,Antarctica,CM2,8.6 g,76,8(1)   ANSMET
Elephant Moraine 15118 **,EET 15118,Official,,2015,"Antarctica, Antarctica",CM2,8.5 g,113,  KOREAMET
Yamato 980086,Y-980086,Official,,1998,Antarctica,CM2,8.4 g,,J16   NIPR
Dominion Range 08015 **,DOM 08015,Official,,2008,Antarctica,CM2,8.4 g,98,32(2)   ANSMET
Allan Hills 85004 **,ALH 85004,Official,,1985,Antarctica,CM2,8.4 g,76,10(1)   ANSMET
Dominion Range 23139 **,DOM 23139,Official,,2023,Antarctica,CM1,8.3 g,113,47(2)   ANSMET
Dominion Range 08010 **,DOM 08010,Official,,2008,Antarctica,CM2,8.3 g,98,32(2)   ANSMET
Yamato 982504,Y-982504,Official,,1998,Antarctica,CM2,8.2 g,110,J28   NIPR
Yamato 980239,Y-980239,Official,,1998,Antarctica,CM2,8.2 g,,J16   NIPR
Yamato 794083,Y-794083,Official,,1979,Antarctica,CM2,8.2 g,,  NIPR
Northwest Africa 10014 **,NWA 10014,Official,,2014,(Northwest Africa),CM2,8.2 g,104,
Yamato 980840,Y-980840,Official,,1998,Antarctica,CM2,8.1 g,110,J28   NIPR
Yamato 794074,Y-794074,Official,,1979,Antarctica,CM2,8.1 g,,  NIPR
Yamato 75293,Y-75293,Official,,1975 or 1976,Antarctica,CM2,8.1 g,,  NIPR
Miller Range 15429 **,MIL 15429,Official,,2015,Antarctica,CM2,8.1 g,108,42(2)   ANSMET
LaPaz Icefield 031043 **,LAP 031043,Official,,2003,Antarctica,CM2,8.1 g,92,29(2)   ANSMET
Reckling Peak 92402 **,RKP 92402,Official,,1992,Antarctica,CM2,8 g,79,17(1)   ANSMET
Northwest Africa 16831 **,NWA 16831,Official,,2022,Morocco,CM2,8 g,113,
LaPaz Icefield 02302 **,LAP 02302,Official,,2002,Antarctica,CM2,7.9 g,89,27(3)   ANSMET
Allan Hills 84032 **,ALH 84032,Official,,1984,Antarctica,CM2,7.9 g,76,8(2)   ANSMET
Miller Range 090443 **,MIL 090443,Official,,2009,Antarctica,CM2,7.9 g,100,34(2)   ANSMET
Reckling Peak 92400 **,RKP 92400,Official,,1992,Antarctica,CM2,7.8 g,76,16(2)   ANSMET
LaPaz Icefield 02277 **,LAP 02277,Official,,2002,Antarctica,CM1,7.8 g,89,27(3)   ANSMET
Yamato 980039,Y-980039,Official,,1998,Antarctica,CM,7.7 g,107,J26   NIPR
Northwest Africa 10165 **,NWA 10165,Official,,2014,"Taouz, Morocco",CM2,7.7 g,104,
Miller Range 07670 **,MIL 07670,Official,,2007,Antarctica,CM2,7.7 g,96,32(1)   ANSMET
Yamato 982069,Y-982069,Official,,1998,Antarctica,CM2,7.6 g,99,J20   NIPR
Asuka 881333,A-881333,Official,,1988,Antarctica,CM2,7.6 g,110,J28   NIPR
Yamato 793564,Y-793564,Official,,1979,Antarctica,CM2,7.5 g,,  NIPR
Northwest Africa 17205 **,NWA 17205,Official,,2024,(Northwest Africa),CM2,7.5 g,113,
Yamato 794077,Y-794077,Official,,1979,Antarctica,CM2,7.4 g,,  NIPR
Miller Range 07702 **,MIL 07702,Official,,2007,Antarctica,CM2,7.4 g,98,33(1)   ANSMET
Graves Nunataks 06131 **,GRA 06131,Official,,2006,Antarctica,CM2,7.3 g,94,30(2)   ANSMET
LaPaz Icefield 04754 **,LAP 04754,Official,,2004,Antarctica,CM2,7.2 g,94,31(1)   ANSMET
MacAlpine Hills 02606 **,MAC 02606,Official,,2002,Antarctica,CM2,7.2 g,88,27(1)   ANSMET
Lewis Cliff 88002 **,LEW 88002,Official,,1988,Antarctica,CM2,7.2 g,76,13(2)   ANSMET
Meteorite Hills 001012 **,MET 001012,Official,,2000,Antarctica,CM2,7.1 g,87,26(1)   ANSMET
LaPaz Icefield 04565 **,LAP 04565,Official,,2004,Antarctica,CM2,7.1 g,94,30(2)   ANSMET
Queen Alexandra Range 94582 **,QUE 94582,Official,,1994,Antarctica,CM2,7.1 g,79,19(1)   ANSMET
Reckling Peak 92401 **,RKP 92401,Official,,1992,Antarctica,CM2,7 g,79,17(1)   ANSMET
Northwest Africa 16436 **,NWA 16436,Official,,2023,Mauritania,CM2,7 g,113,
Northwest Africa 12753 **,NWA 12753,Official,,2017,(Northwest Africa),CM2,7 g,108,
Allan Hills 88052,ALH 88052,Official,,1988,Antarctica,CM2,7 g,69,  EUROMET
LaPaz Icefield 031299,LAP 031299,Official,,2003,Antarctica,CM2,6.9 g,92,29(2)   ANSMET
LaPaz Icefield 02348 **,LAP 02348,Official,,2002,Antarctica,CM2,6.9 g,89,27(3)   ANSMET
